,0
6885,0.003
2776,0.003
6856,0.003
8931,0.003
15,0.003
7439,0.003
5090,0.003
5095,0.003
5097,0.003
1966,0.003
6022,0.003
6010,0.003
8215,0.003
8214,0.003
8213,0.003
9365,0.003
5108,0.003
5109,0.003
9729,0.003
729,0.003
9618,0.003
5113,0.003
6004,0.003
1960,0.003
5117,0.003
7569,0.003
5695,0.003
2348,0.003
7324,0.003
9066,0.003
7289,0.003
7035,0.003
6613,0.003
4022,0.003
4020,0.003
1352,0.003
501,0.003
7550,0.003
9205,0.003
6635,0.003
6631,0.003
2419,0.003
8800,0.003
293,0.003
6578,0.003
2361,0.003
6762,0.003
2892,0.003
2360,0.003
3824,0.003
8697,0.003
279,0.003
3826,0.003
3827,0.003
8698,0.003
2897,0.003
510,0.003
986,0.003
3968,0.003
3966,0.003
1126,0.003
9478,0.003
3990,0.003
3992,0.003
9210,0.003
4013,0.003
6620,0.003
7209,0.003
1097,0.003
8732,0.003
2926,0.003
4006,0.003
4007,0.003
8736,0.003
9866,0.003
2402,0.003
7276,0.003
2415,0.003
1015,0.003
4018,0.003
6647,0.003
3957,0.003
2429,0.003
3963,0.003
1140,0.003
9857,0.003
489,0.003
6732,0.003
3860,0.003
2506,0.003
2473,0.003
5,0.003
4066,0.003
3010,0.003
3040,0.003
3787,0.003
517,0.003
7292,0.003
2884,0.003
280,0.003
7167,0.003
1311,0.003
2365,0.003
7162,0.003
2367,0.003
2503,0.003
3848,0.003
192,0.003
3804,0.003
4067,0.003
467,0.003
6156,0.003
6726,0.003
6728,0.003
9281,0.003
7180,0.003
2359,0.003
6747,0.003
7496,0.003
6582,0.003
289,0.003
4100,0.003
7235,0.003
3026,0.003
7236,0.003
7564,0.003
513,0.003
1315,0.003
3810,0.003
6751,0.003
7234,0.003
3817,0.003
9228,0.003
9168,0.003
6761,0.003
4083,0.003
7241,0.003
2486,0.003
7504,0.003
2934,0.003
2938,0.003
6986,0.003
3372,0.003
337,0.003
1070,0.003
201,0.003
2634,0.003
7422,0.003
6891,0.003
9925,0.003
7093,0.003
3493,0.003
3445,0.003
2649,0.003
2666,0.003
7403,0.003
7395,0.003
9010,0.003
2755,0.003
3390,0.003
3398,0.003
3400,0.003
3402,0.003
2760,0.003
9002,0.003
3177,0.003
7342,0.003
3151,0.003
6928,0.003
2641,0.003
3153,0.003
6998,0.003
7037,0.003
7362,0.003
9047,0.003
9070,0.003
2741,0.003
9258,0.003
2705,0.003
7038,0.003
3307,0.003
3370,0.003
20,0.003
7425,0.003
6914,0.003
2763,0.003
2644,0.003
3456,0.003
2766,0.003
8980,0.003
3154,0.003
6920,0.003
6915,0.003
9105,0.003
8988,0.003
6935,0.003
9493,0.003
6705,0.003
2440,0.003
9551,0.003
9192,0.003
2449,0.003
2982,0.003
2839,0.003
4058,0.003
2996,0.003
9244,0.003
8797,0.003
3884,0.003
3902,0.003
1179,0.003
6701,0.003
8714,0.003
2911,0.003
7556,0.003
3908,0.003
476,0.003
1090,0.003
2914,0.003
2386,0.003
7221,0.003
7198,0.003
1129,0.003
8771,0.003
3936,0.003
2971,0.003
387,0.003
6934,0.003
3427,0.003
6933,0.003
6931,0.003
3166,0.003
1043,0.003
6767,0.003
6797,0.003
9951,0.003
6671,0.003
9546,0.003
2445,0.003
7519,0.003
6682,0.003
6680,0.003
3925,0.003
482,0.003
303,0.003
7193,0.003
7559,0.003
8775,0.003
302,0.003
4850,0.003
9775,0.003
8320,0.003
833,0.003
8612,0.003
4266,0.003
1427,0.003
9319,0.003
4275,0.003
2281,0.003
2277,0.003
2275,0.003
4297,0.003
4301,0.003
8596,0.003
8635,0.003
4263,0.003
8636,0.003
8637,0.003
9841,0.003
8681,0.003
9306,0.003
523,0.003
8675,0.003
7575,0.003
6542,0.003
2329,0.003
6541,0.003
6474,0.003
6444,0.003
6394,0.003
1415,0.003
8398,0.003
216,0.003
926,0.003
4691,0.003
4692,0.003
8393,0.003
600,0.003
5031,0.003
7658,0.003
4260,0.003
